Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6100.0,6110.0,6030.0,6030.0,5590.385742,7467
2020-01-03,6030.0,6170.0,6020.0,6060.0,5618.19873,4247
2020-01-06,6060.0,6100.0,6000.0,6020.0,5581.114746,3232
2020-01-07,6050.0,6140.0,5990.0,6040.0,5599.656738,4294
2020-01-08,6000.0,6130.0,5900.0,6080.0,5636.740234,7780
2020-01-09,6140.0,6140.0,5990.0,6110.0,5664.553223,7066
2020-01-10,6130.0,6130.0,6000.0,6110.0,5664.553223,3470
2020-01-13,6150.0,6150.0,6100.0,6130.0,5683.095215,8466
2020-01-14,6150.0,6190.0,6100.0,6150.0,5701.637207,6090
2020-01-15,6160.0,6180.0,6110.0,6170.0,5720.179199,4738
2020-01-16,6220.0,6220.0,6150.0,6210.0,5757.263184,6524
2020-01-17,6210.0,6250.0,6160.0,6210.0,5757.263184,6414
2020-01-20,6180.0,6210.0,6170.0,6210.0,5757.263184,3504
2020-01-21,6230.0,6230.0,6120.0,6180.0,5729.450195,3619
2020-01-22,6180.0,6180.0,6080.0,6160.0,5710.907715,1365
2020-01-23,6100.0,6170.0,6090.0,6170.0,5720.179199,4411
2020-01-28,6100.0,6360.0,6020.0,6190.0,5738.720703,47532
2020-01-29,6220.0,7500.0,6100.0,6440.0,5970.494629,1966583
2020-01-30,6550.0,6570.0,6200.0,6220.0,5766.533691,286309
2020-01-31,6380.0,7010.0,6280.0,6550.0,6072.475098,627475
2020-02-03,6990.0,7000.0,6220.0,6320.0,5859.243652,424116
2020-02-04,6270.0,6300.0,6040.0,6200.0,5747.991699,118800
2020-02-05,6460.0,6700.0,6270.0,6320.0,5859.243652,628077
2020-02-06,6520.0,6520.0,6280.0,6310.0,5849.972656,114989
2020-02-07,6400.0,6400.0,6220.0,6230.0,5775.804688,60637
2020-02-10,6300.0,6400.0,6210.0,6250.0,5794.34668,56318
2020-02-11,6190.0,6230.0,6100.0,6130.0,5683.095215,51755
2020-02-12,6130.0,6130.0,6010.0,6070.0,5627.469727,46286
2020-02-13,6010.0,6180.0,6010.0,6130.0,5683.095215,29246
2020-02-14,6060.0,6150.0,6050.0,6100.0,5655.282715,21193
2020-02-17,6110.0,6140.0,6030.0,6050.0,5608.927246,18115
2020-02-18,6050.0,6170.0,6010.0,6150.0,5701.637207,35507
2020-02-19,6140.0,6370.0,6100.0,6350.0,5887.056152,114521
2020-02-20,6380.0,8250.0,6220.0,8250.0,7648.537598,3591650
2020-02-21,10700.0,10700.0,10300.0,10700.0,9919.921875,2007293
2020-02-24,12950.0,13750.0,10600.0,11100.0,10290.759766,8266473
2020-02-25,10200.0,10200.0,8800.0,8980.0,8325.317383,999889
2020-02-26,9050.0,9850.0,8980.0,9800.0,9085.535156,912619
2020-02-27,9300.0,10000.0,9260.0,9600.0,8900.117188,818819
2020-02-28,9530.0,11250.0,8680.0,8780.0,8139.898438,3663329
2020-03-02,9010.0,9200.0,8020.0,8460.0,7843.227539,1348841
2020-03-03,8420.0,8830.0,8050.0,8400.0,7787.602051,1844147
2020-03-04,8480.0,8500.0,8030.0,8150.0,7555.828125,714176
2020-03-05,8220.0,8220.0,7610.0,8080.0,7490.931641,986514
2020-03-06,7960.0,8680.0,7880.0,8300.0,7694.892578,2187178
2020-03-09,8300.0,8300.0,8300.0,8300.0,7694.892578,0
2020-03-10,10250.0,11000.0,8490.0,8780.0,8139.898438,7414712
2020-03-11,9030.0,10950.0,8830.0,10950.0,10151.695313,7513903
2020-03-12,10950.0,10950.0,10950.0,10950.0,10151.695313,0
2020-03-13,10000.0,10350.0,8780.0,9130.0,8464.381836,1378534
2020-03-16,9150.0,10150.0,8520.0,8550.0,7926.666504,2947935
2020-03-17,7880.0,8760.0,7810.0,8090.0,7500.202148,975758
2020-03-18,8150.0,9350.0,7910.0,7920.0,7342.595703,3520741
2020-03-19,8490.0,8720.0,6320.0,6750.0,6257.894531,1393413
2020-03-20,6900.0,7230.0,6830.0,7100.0,6582.37793,860131
2020-03-23,6850.0,7790.0,6540.0,6970.0,6461.855469,1498713
2020-03-24,7060.0,7200.0,6860.0,7160.0,6638.003418,602400
2020-03-25,7320.0,7660.0,7100.0,7630.0,7073.738281,1944950
2020-03-26,7750.0,8140.0,7410.0,7770.0,7203.531738,1942906
2020-03-27,8000.0,9590.0,7420.0,8460.0,7843.227539,6669978
2020-03-30,8650.0,9360.0,8530.0,8920.0,8269.691406,2476647
2020-03-31,9140.0,9200.0,8420.0,8700.0,8065.730469,1178723
2020-04-01,8670.0,8880.0,7830.0,8050.0,7463.118652,701356
2020-04-02,8250.0,9480.0,7980.0,9480.0,8788.865234,3929125
2020-04-03,10550.0,10650.0,8910.0,9030.0,8371.671875,3588665
2020-04-06,9300.0,10100.0,9160.0,9750.0,9039.180664,2625609
2020-04-07,9780.0,9810.0,9160.0,9550.0,8853.761719,812503
2020-04-08,9470.0,10200.0,9280.0,9470.0,8779.59375,1706593
2020-04-09,9550.0,10350.0,9390.0,9550.0,8853.761719,2215222
2020-04-10,9490.0,9700.0,8600.0,8940.0,8288.233398,636156
2020-04-13,8730.0,9460.0,8580.0,9030.0,8371.671875,509054
2020-04-14,9150.0,9290.0,9070.0,9230.0,8557.09082,319561
2020-04-16,9130.0,9440.0,9110.0,9340.0,8659.071289,431404
2020-04-17,9260.0,9330.0,9070.0,9300.0,8621.987305,241044
2020-04-20,9360.0,9400.0,9240.0,9290.0,8612.716797,225583
2020-04-21,9240.0,9260.0,8370.0,9100.0,8436.569336,321848
2020-04-22,8900.0,9590.0,8800.0,9580.0,8881.574219,718571
2020-04-23,9310.0,9540.0,9250.0,9250.0,8575.632813,315571
2020-04-24,9230.0,9570.0,8970.0,9120.0,8455.110352,350090
2020-04-27,9330.0,9330.0,9160.0,9180.0,8510.736328,130687
2020-04-28,9240.0,9520.0,8940.0,9460.0,8770.323242,371899
2020-04-29,9400.0,11550.0,9100.0,9570.0,8872.303711,11959648
2020-05-04,9620.0,10200.0,9330.0,9370.0,8686.884766,1918386
2020-05-06,9570.0,9590.0,8900.0,9030.0,8371.671875,512534
2020-05-07,9030.0,9230.0,8950.0,9030.0,8371.671875,236039
2020-05-08,9030.0,9220.0,8980.0,9080.0,8418.026367,230373
2020-05-11,9390.0,9510.0,9200.0,9400.0,8714.697266,379951
2020-05-12,9440.0,9500.0,9090.0,9220.0,8547.820313,199498
2020-05-13,9340.0,9710.0,9330.0,9570.0,8872.303711,732764
2020-05-14,9440.0,10300.0,9350.0,9800.0,9085.535156,1565541
2020-05-15,9900.0,10750.0,9600.0,9600.0,8900.117188,2206750
2020-05-18,9360.0,9360.0,9040.0,9100.0,8436.569336,462450
2020-05-19,9100.0,9100.0,8450.0,8610.0,7982.29248,360221
2020-05-20,8740.0,8850.0,8650.0,8700.0,8065.730469,185361
2020-05-21,8680.0,8740.0,8600.0,8660.0,8028.646973,116093
2020-05-22,8720.0,8720.0,8390.0,8470.0,7852.499023,142237
2020-05-25,8520.0,8670.0,8520.0,8600.0,7973.020996,83841
2020-05-26,8600.0,8650.0,8460.0,8550.0,7926.666504,124668
2020-05-27,8590.0,8640.0,8490.0,8530.0,7908.124023,92754
2020-05-28,8560.0,8880.0,8500.0,8850.0,8204.794922,388554
2020-05-29,8910.0,8990.0,8610.0,8610.0,7982.29248,201688
2020-06-01,8570.0,8590.0,8440.0,8480.0,7861.769531,98276
2020-06-02,8490.0,8490.0,8200.0,8300.0,7694.892578,156390
2020-06-03,8300.0,8380.0,8080.0,8100.0,7509.473145,142783
2020-06-04,8090.0,8190.0,7980.0,8170.0,7574.369629,117627
2020-06-05,8170.0,8190.0,8030.0,8070.0,7481.660645,70384
2020-06-08,8070.0,8300.0,8060.0,8170.0,7574.369629,76352
2020-06-09,8310.0,8310.0,7990.0,8020.0,7435.305664,92458
2020-06-10,8020.0,8070.0,7950.0,8010.0,7426.034668,80856
2020-06-11,8050.0,8050.0,7800.0,7810.0,7240.615234,110134
2020-06-12,7730.0,8160.0,7690.0,7740.0,7175.71875,280018
2020-06-15,7940.0,7940.0,7150.0,7210.0,6684.358398,122705
