date,open,high,low,close,adjclose,volume,ticker
2022-11-18,513.7940673828125,517.365234375,503.7527160644531,513.3086547851562,513.3086547851562,1266549293859,XRP-KRW
2022-11-19,513.2986450195312,519.1864013671875,505.06573486328125,515.5083618164062,515.5083618164062,765698207317,XRP-KRW
2022-11-20,515.5053100585938,527.4158935546875,483.8065490722656,485.0168762207031,485.0168762207031,1549292536389,XRP-KRW
2022-11-21,485.0184020996094,499.2584228515625,470.6864929199219,496.036865234375,496.036865234375,2927992851464,XRP-KRW
2022-11-22,495.9348449707031,510.99261474609375,478.0043029785156,508.8308410644531,508.8308410644531,1845325380354,XRP-KRW
2022-11-23,508.8067321777344,510.50921630859375,498.8424987792969,510.2313232421875,510.2313232421875,1470947453561,XRP-KRW
2022-11-24,510.22857666015625,536.1839599609375,499.15582275390625,533.1783447265625,533.1783447265625,1670708343774,XRP-KRW
2022-11-25,533.1653442382812,552.3018798828125,518.9617309570312,545.4581909179688,545.4581909179688,1695132912778,XRP-KRW
2022-11-26,545.4560546875,550.6190185546875,527.6605834960938,529.7218017578125,529.7218017578125,821095161436,XRP-KRW
2022-11-27,529.6905517578125,544.7897338867188,528.8425903320312,529.97900390625,529.97900390625,841428953842,XRP-KRW
2022-11-28,530.4422607421875,532.1903686523438,504.07904052734375,512.1234130859375,512.1234130859375,1311770935296,XRP-KRW
