date,open,high,low,close,adjclose,volume,ticker
2022-11-18,22413534.0,22692454.0,22190544.0,22375190.0,22375190.0,35995641557617,BTC-KRW
2022-11-19,22373102.0,22509660.0,22204848.0,22393976.0,22393976.0,21582822665421,BTC-KRW
2022-11-20,22395814.0,22441188.0,21773736.0,21831544.0,21831544.0,28560566794747,BTC-KRW
2022-11-21,21830728.0,21830728.0,21208776.0,21466838.0,21466838.0,50894930080190,BTC-KRW
2022-11-22,21460064.0,22012656.0,21269410.0,21905648.0,21905648.0,41575089288203,BTC-KRW
2022-11-23,21913522.0,22304214.0,21838172.0,22210992.0,22210992.0,44070933091565,BTC-KRW
2022-11-24,22212238.0,22410060.0,21898466.0,22023164.0,22023164.0,34655985524665,BTC-KRW
2022-11-25,22020252.0,22066996.0,21696318.0,22065910.0,22065910.0,24945931550790,BTC-KRW
2022-11-26,22065558.0,22259596.0,21924858.0,21989036.0,21989036.0,24040091705069,BTC-KRW
2022-11-27,21988504.0,22162872.0,21952680.0,21962832.0,21962832.0,27304111582606,BTC-KRW
2022-11-28,21974962.0,22012266.0,21606946.0,21710108.0,21710108.0,33344265912320,BTC-KRW
