date,open,high,low,close,adjclose,volume,ticker
2022-11-18,83926.21875,85055.5546875,82632.7421875,83943.2734375,83943.2734375,881838999963,LTC-KRW
2022-11-19,83931.921875,86152.96875,82590.40625,85510.5234375,85510.5234375,718480542318,LTC-KRW
2022-11-20,85513.4609375,86451.7421875,81621.7265625,83084.9765625,83084.9765625,815817136937,LTC-KRW
2022-11-21,83085.8046875,85670.96875,81423.359375,83452.90625,83452.90625,1181805836162,LTC-KRW
2022-11-22,83439.796875,95477.796875,83104.6796875,95312.96875,95312.96875,1777224935372,LTC-KRW
2022-11-23,95342.03125,110507.328125,94245.453125,105634.875,105634.875,2828127101538,LTC-KRW
2022-11-24,105633.59375,105022.1171875,100893.3359375,104555.5703125,104555.5703125,1655652216596,LTC-KRW
2022-11-25,104525.0390625,104806.78125,98302.796875,98870.0390625,98870.0390625,1190852745810,LTC-KRW
2022-11-26,98860.1015625,105840.4375,98860.1015625,102000.5859375,102000.5859375,1022246578940,LTC-KRW
2022-11-27,102014.78125,105362.5859375,99966.7265625,100226.40625,100226.40625,830976346977,LTC-KRW
2022-11-28,100311.1328125,100515.2109375,95564.3671875,96405.125,96405.125,1011794706432,LTC-KRW
