date,open,high,low,close,adjclose,volume,ticker
2022-11-18,1343.314697265625,1339.218505859375,1339.7369384765625,1340.3416748046875,1340.3416748046875,3536185498109,USDC-KRW
2022-11-19,1340.3125,1340.64697265625,1340.0255126953125,1340.239501953125,1340.239501953125,2871075464695,USDC-KRW
2022-11-20,1340.2540283203125,1340.6983642578125,1339.804443359375,1340.3165283203125,1340.3165283203125,3526813901875,USDC-KRW
2022-11-21,1340.3106689453125,1361.564208984375,1349.3929443359375,1360.203857421875,1360.203857421875,8975476275938,USDC-KRW
2022-11-22,1360.0970458984375,1355.76611328125,1357.2791748046875,1353.621826171875,1353.621826171875,5491618039810,USDC-KRW
2022-11-23,1353.7039794921875,1353.192138671875,1353.5482177734375,1337.5867919921875,1337.5867919921875,5407102193385,USDC-KRW
2022-11-24,1337.58935546875,1337.04931640625,1329.46875,1326.6248779296875,1326.6248779296875,4583527710512,USDC-KRW
2022-11-25,1326.5621337890625,1332.276123046875,1335.5059814453125,1335.6361083984375,1335.6361083984375,3402861050006,USDC-KRW
2022-11-26,1335.6680908203125,1336.4134521484375,1335.384765625,1335.7615966796875,1335.7615966796875,3254070100072,USDC-KRW
2022-11-27,1335.7806396484375,1336.0325927734375,1335.3460693359375,1335.7510986328125,1335.7510986328125,3057891286871,USDC-KRW
2022-11-28,1335.825439453125,1340.327392578125,1339.421875,1339.44287109375,1339.44287109375,3426660384768,USDC-KRW
