date,open,high,low,close,adjclose,volume,ticker
2022-11-18,7712.25341796875,8061.03857421875,7716.4892578125,7839.0810546875,7839.0810546875,146306445469,UNI7083-KRW
2022-11-19,7836.8369140625,7839.35205078125,7628.646484375,7725.6787109375,7725.6787109375,93249553156,UNI7083-KRW
2022-11-20,7725.54345703125,7778.77880859375,7254.513671875,7282.22021484375,7282.22021484375,107978464720,UNI7083-KRW
2022-11-21,7282.60302734375,7360.90185546875,6958.94775390625,7063.7060546875,7063.7060546875,194704181486,UNI7083-KRW
2022-11-22,7063.0322265625,7266.421875,6738.40283203125,7169.96435546875,7169.96435546875,212860962076,UNI7083-KRW
2022-11-23,7171.9814453125,7404.6025390625,7113.19140625,7338.23583984375,7338.23583984375,152857796281,UNI7083-KRW
2022-11-24,7338.91357421875,7393.6005859375,7167.62451171875,7230.2919921875,7230.2919921875,110504928440,UNI7083-KRW
2022-11-25,7229.13134765625,7315.6630859375,7014.73974609375,7232.82763671875,7232.82763671875,103204385617,UNI7083-KRW
2022-11-26,7232.4599609375,7487.84423828125,7195.2392578125,7234.86962890625,7234.86962890625,108245515895,UNI7083-KRW
2022-11-27,7235.05810546875,7482.5625,7219.40380859375,7219.40380859375,7219.40380859375,75023997089,UNI7083-KRW
2022-11-28,7240.5478515625,7276.02587890625,6967.13525390625,7072.04736328125,7072.04736328125,86705602560,UNI7083-KRW
