date,open,high,low,close,adjclose,volume,ticker
2022-11-18,1343.45751953125,1340.960693359375,1341.70458984375,1340.5692138671875,1340.5692138671875,275279192682,DAI-KRW
2022-11-19,1340.4439697265625,1341.697509765625,1339.58203125,1340.673583984375,1340.673583984375,276801446973,DAI-KRW
2022-11-20,1340.6767578125,1341.479736328125,1338.408447265625,1340.427978515625,1340.427978515625,407212996282,DAI-KRW
2022-11-21,1340.45849609375,1362.4150390625,1357.9656982421875,1360.05126953125,1360.05126953125,533250506099,DAI-KRW
2022-11-22,1359.9405517578125,1357.4715576171875,1355.935791015625,1353.9127197265625,1353.9127197265625,470805653780,DAI-KRW
2022-11-23,1353.8775634765625,1356.2337646484375,1351.465576171875,1337.6287841796875,1337.6287841796875,440159635268,DAI-KRW
2022-11-24,1337.7991943359375,1338.4862060546875,1325.7176513671875,1326.786865234375,1326.786865234375,493375317615,DAI-KRW
2022-11-25,1326.7279052734375,1333.8614501953125,1327.8388671875,1335.709228515625,1335.709228515625,312937331473,DAI-KRW
2022-11-26,1335.67822265625,1337.59375,1334.69970703125,1335.4185791015625,1335.4185791015625,243274919029,DAI-KRW
2022-11-27,1335.36474609375,1336.5067138671875,1334.303955078125,1334.8365478515625,1334.8365478515625,193209464860,DAI-KRW
2022-11-28,1335.365234375,1341.6976318359375,1338.7449951171875,1339.24853515625,1339.24853515625,237898743808,DAI-KRW
