date,open,high,low,close,adjclose,volume,ticker
2022-11-18,18318.33203125,18516.1640625,17481.06640625,17751.77734375,17751.77734375,478642252953,SOL-KRW
2022-11-19,17751.634765625,17762.3046875,16944.1171875,17220.744140625,17220.744140625,421163731186,SOL-KRW
2022-11-20,17222.484375,17978.826171875,16352.798828125,16419.1640625,16419.1640625,681286973476,SOL-KRW
2022-11-21,16420.890625,16425.548828125,15431.654296875,16107.9423828125,16107.9423828125,685994669602,SOL-KRW
2022-11-22,16102.919921875,16866.6796875,14917.8818359375,16826.0859375,16826.0859375,716332048666,SOL-KRW
2022-11-23,16829.189453125,19258.23046875,16758.57421875,19190.111328125,19190.111328125,1149821694840,SOL-KRW
2022-11-24,19192.10546875,19847.36328125,18506.298828125,19341.154296875,19341.154296875,822542134814,SOL-KRW
2022-11-25,19338.869140625,19339.591796875,18440.28515625,18782.1640625,18782.1640625,432277957578,SOL-KRW
2022-11-26,18781.712890625,19883.5625,18739.57421875,18910.453125,18910.453125,445104508739,SOL-KRW
2022-11-27,18910.912109375,19244.748046875,18808.646484375,18852.494140625,18852.494140625,300548934871,SOL-KRW
2022-11-28,18860.6328125,18880.70703125,17195.203125,17870.509765625,17870.509765625,498685444096,SOL-KRW
